id,pattern,params,description,source_path,verified,vc_count,tokens,priority,created_at
aggregator-r03-v011,aggregator,"{""operation"": ""CountPositive"", ""collectionType"": ""seq<bool>""}","aggregator variant (operation=CountPositive, collectionType=seq<bool>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r03-v011.dfy,t,6,0,0,2026-08-10 18:15:32.798617+00
aggregator-r03-v012,aggregator,"{""operation"": ""CountNegative"", ""collectionType"": ""seq<int>""}","aggregator variant (operation=CountNegative, collectionType=seq<int>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r03-v012.dfy,t,6,0,0,2026-08-10 18:15:43.891839+00
aggregator-r03-v013,aggregator,"{""operation"": ""CountNegative"", ""collectionType"": ""seq<string>""}","aggregator variant (operation=CountNegative, collectionType=seq<string>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r03-v013.dfy,t,6,0,0,2026-08-10 18:15:55.074422+00
aggregator-r03-v014,aggregator,"{""operation"": ""CountNegative"", ""collectionType"": ""seq<bool>""}","aggregator variant (operation=CountNegative, collectionType=seq<bool>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r03-v014.dfy,t,6,0,0,2026-08-10 18:16:06.475482+00
aggregator-r03-v015,aggregator,"{""operation"": ""Average"", ""collectionType"": ""seq<int>""}","aggregator variant (operation=Average, collectionType=seq<int>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r03-v015.dfy,t,6,0,0,2026-08-10 18:16:17.419941+00
aggregator-r03-v016,aggregator,"{""operation"": ""Average"", ""collectionType"": ""seq<string>""}","aggregator variant (operation=Average, collectionType=seq<string>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r03-v016.dfy,t,6,0,0,2026-08-10 18:16:28.290374+00
aggregator-r03-v017,aggregator,"{""operation"": ""Average"", ""collectionType"": ""seq<bool>""}","aggregator variant (operation=Average, collectionType=seq<bool>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r03-v017.dfy,t,6,0,0,2026-08-10 18:16:39.277118+00
aggregator-r03-v018,aggregator,"{""operation"": ""Count"", ""collectionType"": ""seq<int>""}","aggregator variant (operation=Count, collectionType=seq<int>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r03-v018.dfy,t,6,0,0,2026-08-10 18:16:50.082305+00
aggregator-r03-v019,aggregator,"{""operation"": ""Count"", ""collectionType"": ""seq<string>""}","aggregator variant (operation=Count, collectionType=seq<string>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r03-v019.dfy,t,6,0,0,2026-08-10 18:17:00.845901+00
aggregator-r04-v000,aggregator,"{""operation"": ""Sum"", ""collectionType"": ""seq<int>""}","aggregator variant (operation=Sum, collectionType=seq<int>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r04-v000.dfy,t,6,0,0,2026-08-10 18:17:11.77562+00
aggregator-r04-v001,aggregator,"{""operation"": ""Sum"", ""collectionType"": ""seq<string>""}","aggregator variant (operation=Sum, collectionType=seq<string>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r04-v001.dfy,t,6,0,0,2026-08-10 18:17:22.604858+00
aggregator-r04-v002,aggregator,"{""operation"": ""Sum"", ""collectionType"": ""seq<bool>""}","aggregator variant (operation=Sum, collectionType=seq<bool>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r04-v002.dfy,t,6,0,0,2026-08-10 18:17:33.439593+00
aggregator-r04-v003,aggregator,"{""operation"": ""Max"", ""collectionType"": ""seq<int>""}","aggregator variant (operation=Max, collectionType=seq<int>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r04-v003.dfy,t,6,0,0,2026-08-10 18:17:44.439662+00
aggregator-r04-v004,aggregator,"{""operation"": ""Max"", ""collectionType"": ""seq<string>""}","aggregator variant (operation=Max, collectionType=seq<string>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r04-v004.dfy,t,6,0,0,2026-08-10 18:17:55.345185+00
aggregator-r04-v005,aggregator,"{""operation"": ""Max"", ""collectionType"": ""seq<bool>""}","aggregator variant (operation=Max, collectionType=seq<bool>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r04-v005.dfy,t,6,0,0,2026-08-10 18:18:06.279288+00
aggregator-r04-v006,aggregator,"{""operation"": ""Min"", ""collectionType"": ""seq<int>""}","aggregator variant (operation=Min, collectionType=seq<int>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r04-v006.dfy,t,6,0,0,2026-08-10 18:18:17.186494+00
aggregator-r04-v007,aggregator,"{""operation"": ""Min"", ""collectionType"": ""seq<string>""}","aggregator variant (operation=Min, collectionType=seq<string>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r04-v007.dfy,t,6,0,0,2026-08-10 18:18:29.135594+00
aggregator-r04-v008,aggregator,"{""operation"": ""Min"", ""collectionType"": ""seq<bool>""}","aggregator variant (operation=Min, collectionType=seq<bool>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r04-v008.dfy,t,6,0,0,2026-08-10 18:18:41.272356+00
aggregator-r04-v009,aggregator,"{""operation"": ""CountPositive"", ""collectionType"": ""seq<int>""}","aggregator variant (operation=CountPositive, collectionType=seq<int>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r04-v009.dfy,t,6,0,0,2026-08-10 18:18:51.697991+00
aggregator-r04-v010,aggregator,"{""operation"": ""CountPositive"", ""collectionType"": ""seq<string>""}","aggregator variant (operation=CountPositive, collectionType=seq<string>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r04-v010.dfy,t,6,0,0,2026-08-10 18:19:02.325621+00
aggregator-r04-v011,aggregator,"{""operation"": ""CountPositive"", ""collectionType"": ""seq<bool>""}","aggregator variant (operation=CountPositive, collectionType=seq<bool>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r04-v011.dfy,t,6,0,0,2026-08-10 18:19:12.763361+00
aggregator-r04-v012,aggregator,"{""operation"": ""CountNegative"", ""collectionType"": ""seq<int>""}","aggregator variant (operation=CountNegative, collectionType=seq<int>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r04-v012.dfy,t,6,0,0,2026-08-10 18:19:23.639987+00
aggregator-r04-v013,aggregator,"{""operation"": ""CountNegative"", ""collectionType"": ""seq<string>""}","aggregator variant (operation=CountNegative, collectionType=seq<string>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r04-v013.dfy,t,6,0,0,2026-08-10 18:19:34.841277+00
aggregator-r04-v014,aggregator,"{""operation"": ""CountNegative"", ""collectionType"": ""seq<bool>""}","aggregator variant (operation=CountNegative, collectionType=seq<bool>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r04-v014.dfy,t,6,0,0,2026-08-10 18:19:45.609847+00
aggregator-r04-v015,aggregator,"{""operation"": ""Average"", ""collectionType"": ""seq<int>""}","aggregator variant (operation=Average, collectionType=seq<int>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r04-v015.dfy,t,6,0,0,2026-08-10 18:19:56.8214+00
aggregator-r04-v016,aggregator,"{""operation"": ""Average"", ""collectionType"": ""seq<string>""}","aggregator variant (operation=Average, collectionType=seq<string>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r04-v016.dfy,t,6,0,0,2026-08-10 18:20:08.358676+00
aggregator-r04-v017,aggregator,"{""operation"": ""Average"", ""collectionType"": ""seq<bool>""}","aggregator variant (operation=Average, collectionType=seq<bool>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r04-v017.dfy,t,6,0,0,2026-08-10 18:20:19.833656+00
aggregator-r04-v018,aggregator,"{""operation"": ""Count"", ""collectionType"": ""seq<int>""}","aggregator variant (operation=Count, collectionType=seq<int>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r04-v018.dfy,t,6,0,0,2026-08-10 18:20:31.303105+00
aggregator-r04-v019,aggregator,"{""operation"": ""Count"", ""collectionType"": ""seq<string>""}","aggregator variant (operation=Count, collectionType=seq<string>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r04-v019.dfy,t,6,0,0,2026-08-10 18:20:42.817775+00
aggregator-v000,aggregator,"{""operation"": ""Sum"", ""collectionType"": ""seq<int>""}","aggregator variant (operation=Sum, collectionType=seq<int>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-v000.dfy,t,6,0,0,2026-08-10 18:20:54.210711+00
aggregator-v001,aggregator,"{""operation"": ""Sum"", ""collectionType"": ""seq<string>""}","aggregator variant (operation=Sum, collectionType=seq<string>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-v001.dfy,t,6,0,0,2026-08-10 18:21:05.559061+00
aggregator-v002,aggregator,"{""operation"": ""Sum"", ""collectionType"": ""seq<bool>""}","aggregator variant (operation=Sum, collectionType=seq<bool>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-v002.dfy,t,6,0,0,2026-08-10 18:21:16.610867+00
aggregator-v003,aggregator,"{""operation"": ""Max"", ""collectionType"": ""seq<int>""}","aggregator variant (operation=Max, collectionType=seq<int>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-v003.dfy,t,6,0,0,2026-08-10 18:21:27.939115+00
aggregator-v004,aggregator,"{""operation"": ""Max"", ""collectionType"": ""seq<string>""}","aggregator variant (operation=Max, collectionType=seq<string>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-v004.dfy,t,6,0,0,2026-08-10 18:21:38.956219+00
aggregator-v005,aggregator,"{""operation"": ""Max"", ""collectionType"": ""seq<bool>""}","aggregator variant (operation=Max, collectionType=seq<bool>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-v005.dfy,t,6,0,0,2026-08-10 18:21:50.179765+00
aggregator-v006,aggregator,"{""operation"": ""Min"", ""collectionType"": ""seq<int>""}","aggregator variant (operation=Min, collectionType=seq<int>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-v006.dfy,t,6,0,0,2026-08-10 18:22:01.034059+00
aggregator-v007,aggregator,"{""operation"": ""Min"", ""collectionType"": ""seq<string>""}","aggregator variant (operation=Min, collectionType=seq<string>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-v007.dfy,t,6,0,0,2026-08-10 18:22:11.996239+00
aggregator-v008,aggregator,"{""operation"": ""Min"", ""collectionType"": ""seq<bool>""}","aggregator variant (operation=Min, collectionType=seq<bool>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-v008.dfy,t,6,0,0,2026-08-10 18:22:23.362343+00
aggregator-v009,aggregator,"{""operation"": ""CountPositive"", ""collectionType"": ""seq<int>""}","aggregator variant (operation=CountPositive, collectionType=seq<int>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-v009.dfy,t,6,0,0,2026-08-10 18:22:35.225273+00
aggregator-v010,aggregator,"{""operation"": ""CountPositive"", ""collectionType"": ""seq<string>""}","aggregator variant (operation=CountPositive, collectionType=seq<string>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-v010.dfy,t,6,0,0,2026-08-10 18:22:46.795494+00
aggregator-v011,aggregator,"{""operation"": ""CountPositive"", ""collectionType"": ""seq<bool>""}","aggregator variant (operation=CountPositive, collectionType=seq<bool>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-v011.dfy,t,6,0,0,2026-08-10 18:22:58.881281+00
aggregator-v012,aggregator,"{""operation"": ""CountNegative"", ""collectionType"": ""seq<int>""}","aggregator variant (operation=CountNegative, collectionType=seq<int>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-v012.dfy,t,6,0,0,2026-08-10 18:23:10.193275+00
aggregator-v013,aggregator,"{""operation"": ""CountNegative"", ""collectionType"": ""seq<string>""}","aggregator variant (operation=CountNegative, collectionType=seq<string>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-v013.dfy,t,6,0,0,2026-08-10 18:23:21.429418+00
aggregator-v014,aggregator,"{""operation"": ""CountNegative"", ""collectionType"": ""seq<bool>""}","aggregator variant (operation=CountNegative, collectionType=seq<bool>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-v014.dfy,t,6,0,0,2026-08-10 18:23:33.217096+00
aggregator-v015,aggregator,"{""operation"": ""Average"", ""collectionType"": ""seq<int>""}","aggregator variant (operation=Average, collectionType=seq<int>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-v015.dfy,t,6,0,0,2026-08-10 18:23:44.769743+00
aggregator-v016,aggregator,"{""operation"": ""Average"", ""collectionType"": ""seq<string>""}","aggregator variant (operation=Average, collectionType=seq<string>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-v016.dfy,t,6,0,0,2026-08-10 18:23:56.457692+00
